Indicador,Peso,Tipo
nome,0.0,
cpf,0.0,
dataNascimento,0.0,
paisNascimento,0.0,
nacionalidade,0.0,
filtro_anoInicio,0.0,
filtro_anoFim,0.0,
nomeCurriculo,0.0,
dataAtualizacaoCurriculo,0.0,
urlLattes,0.0,
urlDownloadXmlPdf,0.0,
producao_total,0.0,
producao_informacoesComplementares_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_exameQualificacaoDoutorado,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_doutorado,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_mestrado_total,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_mestrado_academico,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_graduacao,0.0,
producao_informacoesComplementares_orientacaoAndamento_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_iniciacaoCientifica,1.0,3
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_orientadorPrincipal_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_dissertacaoMestrado_orientadorPrincipal_academico,0.0,
producao_informacoesComplementares_orientacaoAndamento_teseDoutorado_total,0.0,
producao_informacoesComplementares_orientacaoAndamento_teseDoutorado_coOrientador,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_total,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_professorTitular,0.0,
producao_informacoesComplementares_participacaoBancaComissoesJulgadoras_outra,0.0,
producao_informacoesComplementares_participacaoEventos_total,0.0,
producao_informacoesComplementares_participacaoEventos_encontro,0.0,
producao_informacoesComplementares_participacaoEventos_outra,0.0,
producao_producaoTecnica_total,0.0,
producao_producaoTecnica_programaRadioTv_total,0.0,
producao_producaoTecnica_programaRadioTv_entrevista,0.0,
producao_producaoTecnica_software_total,0.0,
producao_producaoTecnica_software_computacional,0.0,
producao_producaoTecnica_organizacaoEvento_total,0.0,
producao_producaoTecnica_organizacaoEvento_congresso,0.0,
producao_producaoTecnica_organizacaoEvento_outro,0.0,
producao_orientacaoConcluida_total,0.0,
producao_orientacaoConcluida_iniciacaoCientifica,2.0,3
producao_orientacaoConcluida_dissertacaoMestrado_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_coOrientador_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_coOrientador_academico,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_orientadorPrincipal_total,0.0,
producao_orientacaoConcluida_dissertacaoMestrado_orientadorPrincipal_academico,0.0,
producao_orientacaoConcluida_teseDoutorado_total,0.0,
producao_orientacaoConcluida_teseDoutorado_coOrientador,0.0,
producao_orientacaoConcluida_teseDoutorado_orientadorPrincipal,0.0,
producao_orientacaoConcluida_monografiaConclusaoCursoAperfeicoamento,0.0,
producao_producaoBibliografica_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumoExpandido_internacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_completo_internacional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_total,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_regional,0.0,
producao_producaoBibliografica_trabalhoPublicadoAnaisEvento_resumo_nacional,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_total,3.0,2
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a1_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b3_portugues,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a3_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_a4_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_semEstrato_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_semEstrato_outro,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b1_total,0.0,
producao_producaoBibliografica_artigoPublicadoPeriodico_completo_b1_outro,0.0,
producao_producaoBibliografica_livroCapituloLivro_total,0.0,
producao_producaoBibliografica_livroCapituloLivro_livroPublicado_total,0.0,
producao_producaoBibliografica_livroCapituloLivro_livroPublicado_textoIntegral,0.0,
projetos_total,0.0,
projetos_totalComoParticipanteSemFinanciamento,0.0,
projetos_alunosEnvolvidos_total,0.0,
projetos_alunosEnvolvidos_doutorado,0.0,
projetos_alunosEnvolvidos_graduacao,0.0,
projetos_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_totalComoCoordenadorSemFinanciamento,0.0,
projetos_totalComoCoordenadorComFinanciamento,0.0,
projetos_pesquisa_total,0.0,
projetos_pesquisa_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_alunosEnvolvidos_total,0.0,
projetos_pesquisa_alunosEnvolvidos_doutorado,0.0,
projetos_pesquisa_alunosEnvolvidos_graduacao,0.0,
projetos_pesquisa_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_pesquisa_totalComoCoordenadorSemFinanciamento,0.0,
projetos_pesquisa_totalComoCoordenadorComFinanciamento,0.0,
projetos_pesquisa_concluido_total,0.0,
projetos_pesquisa_concluido_totalComoParticipanteSemFinanciamento,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_total,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_doutorado,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_pesquisa_concluido_alunosEnvolvidos_mestradoAcademico,0.0,
projetos_pesquisa_concluido_totalComoCoordenadorSemFinanciamento,0.0,
